username,password,firstname,lastname,email,city,idnumber,course1,role1,group1,course2,role2,group2
constraining_24,hyffbc,Marcy,Davies,constraining_24@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - RG,,,
constraining_25,hyffbc,Charles,Schelling,constraining_25@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - RG,,,
,,,,,,,,,,,,
consortiakt,hyffbc,Karen,Thomas,k.thomas5@neath-porttalbot.gov.uk,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,4,,,,
consortiagj,hyffbc,Gwenno,Jarvis,gj@dyffrynconwy.conwy.sch.uk,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,4,,,,
sewaleseasjamesk,ety6i5,James,Kent,James.Kent@sewaleseas.org.uk,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,4,,,,
bridgendce,hyffbc,Catrin,Evans,catrin.evans@yyyllangynwyd.org.uk,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,4,,,,
consortiarg,hyffbc,Richard,George,richard.george@cscjes.org.uk,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,4,,,,
,,,,,,,,,,,,
(all usernames are lowercase),,,,,,,,,,,,
,,,,,,,,,,,,
consortianet1,hyffbc,Non Editing Teacher,Consortia1,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - KT,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet2,hyffbc,Non Editing Teacher,Consortia2,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - KT,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet3,hyffbc,Non Editing Teacher,Consortia3,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - KT,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet4,hyffbc,Non Editing Teacher,Consortia4,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - KT,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet5,hyffbc,Non Editing Teacher,Consortia5,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - KT,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet6,hyffbc,Non Editing Teacher,Consortia6,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - GJ,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet7,hyffbc,Non Editing Teacher,Consortia7,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - GJ,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet8,hyffbc,Non Editing Teacher,Consortia8,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - GJ,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet9,hyffbc,Non Editing Teacher,Consortia9,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - GJ,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet10,hyffbc,Non Editing Teacher,Consortia10,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - GJ,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet11,hyffbc,Non Editing Teacher,Consortia11,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - JK,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet12,hyffbc,Non Editing Teacher,Consortia12,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - JK,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet13,hyffbc,Non Editing Teacher,Consortia13,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - JK,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet14,hyffbc,Non Editing Teacher,Consortia14,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - JK,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet15,hyffbc,Non Editing Teacher,Consortia15,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - JK,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet16,hyffbc,Non Editing Teacher,Consortia16,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - CE,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet17,hyffbc,Non Editing Teacher,Consortia17,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - CE,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet18,hyffbc,Non Editing Teacher,Consortia18,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - CE,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet19,hyffbc,Non Editing Teacher,Consortia19,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - CE,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet20,hyffbc,Non Editing Teacher,Consortia20,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - CE,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet21,hyffbc,Non Editing Teacher,Consortia21,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - RG,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet22,hyffbc,Non Editing Teacher,Consortia22,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - RG,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet23,hyffbc,Non Editing Teacher,Consortia23,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - RG,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet24,hyffbc,Non Editing Teacher,Consortia24,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - RG,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
consortianet25,hyffbc,Non Editing Teacher,Consortia25,consortiaNET@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,12,2015 - KS4 - RG,Consortia WB e-P Training Sept 2015,12,2015 - WB Teachers
